COMID,LAKE_NAME,LON_NAD83,LAT_NAD83,VARIABLE,THRESHOLD,BLOOM_MAG,PROB_EXCEED,CI_97.5PERC,CI_2.5PERC
20917521,Marion Reservoir,-97.10515683,38.38496949,microcystin,0.2,0.043565446,0.366201309,0.466179929,0.276556125
20927390,Council Grove Lake,-96.52356238,38.69237691,microcystin,0.2,0.003069943,0.121269741,0.182004437,0.078848557
20943110,Elk City Lake,-95.79993158,37.2581057,microcystin,0.2,0.004518301,0.126833947,0.188123506,0.08345952
20953830,Toronto Lake,-95.92942609,37.75561026,microcystin,0.2,0.012460852,0.1613253,0.225859611,0.112549407
20971700,Keystone Lake,-96.29590817,36.16155957,microcystin,0.2,0.005943721,0.132521657,0.19436013,0.088203927
21000069,Great Salt Plains Reservoir,-98.19475688,36.73356156,microcystin,0.2,0.085509829,0.718006861,0.846702631,0.539970239
21038107,Kaw Lake,-96.87548293,36.77444999,microcystin,0.2,0.002280053,0.118324734,0.178756487,0.07642185
21117203,Optima Lake,-101.1771918,36.65861447,microcystin,0.2,0.062034921,0.526108379,0.657161967,0.391356165
21134781,Timber Creek Lake,-96.87298126,37.35432481,microcystin,0.2,0.003252317,0.121958618,0.182763175,0.079417628
21160241,Cheney Reservoir,-97.86783587,37.77871841,microcystin,0.2,0.01450113,0.171326338,0.236834713,0.121063186
21193680,Little Salt Marsh,-98.4940373,38.0807567,microcystin,0.2,0.306030798,0.999838714,0.999994178,0.995550315
21318615,San Carlos Reservoir,-110.4422576,33.19716541,microcystin,0.2,0.030562663,0.267308006,0.346135828,0.200915978
2134810,Dead Lakes,-85.18186236,30.14026478,microcystin,0.2,0.000243012,0.111014476,0.170658814,0.070444891
21383092,Alamo Lake,-113.5772183,34.26018186,microcystin,0.2,0.00093426,0.113449736,0.173362635,0.072428142
21437925,Lost Lake,-114.5094723,34.77617457,microcystin,0.2,0.045343228,0.380910316,0.484269997,0.287320888
21473030,"Conway, Lake",-81.34959248,28.47272368,microcystin,0.2,0.000646787,0.112431362,0.172232775,0.071597793
21473054,Lake Tibet,-81.53147928,28.44902876,microcystin,0.2,0.000521841,0.111991237,0.171744107,0.071239369
21473290,Big Sand Lake,-81.48864994,28.43304557,microcystin,0.2,0.000609374,0.112299415,0.172086298,0.071490312
21473308,"Sheen, Lake",-81.5201621,28.43215475,microcystin,0.2,0.000663085,0.112488884,0.172296626,0.071644657
21473632,"Hart, Lake",-81.21126941,28.37974679,microcystin,0.2,0.000781941,0.112909149,0.172763011,0.071987189
21473686,"Mary Jane, Lake",-81.17898146,28.37309532,microcystin,0.2,0.00075965,0.112830224,0.17267544,0.071922844
21474332,"Center, Lake",-81.19123263,28.27819074,microcystin,0.2,0.003064299,0.121248476,0.18198101,0.078830998
